image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_0674.jpg,photo_0678.jpg,2023-05-08 15:30:39,2023-05-08 15:31:14,35,"(1080.0, 217.20001220703125)","(469.3968200683594, 806.2159423828125)",9.9811310517276,0.03606895586921448
photo_0674.jpg,photo_0679.jpg,2023-05-08 15:30:39,2023-05-08 15:31:23,44,"(1065.83056640625, 118.1952133178711)","(1272.9600830078125, 404.6400146484375)",3.7209187924550076,0.010695950201584302
photo_0674.jpg,photo_0680.jpg,2023-05-08 15:30:39,2023-05-08 15:31:31,52,"(964.800048828125, 542.4000244140625)","(1275.840087890625, 865.4400634765625)",4.353811728887771,0.010589809759033177
photo_0674.jpg,photo_0681.jpg,2023-05-08 15:30:39,2023-05-08 15:31:40,61,"(481.20001220703125, 775.2000122070312)","(656.6400756835938, 786.2400512695312)",3.4468055370573265,0.007146753513557552
photo_0674.jpg,photo_0682.jpg,2023-05-08 15:30:39,2023-05-08 15:31:49,70,"(1076.0, 221.0)","(427.20001220703125, 753.6000366210938)",52.46294165173831,0.09479304085874089
photo_0674.jpg,photo_0683.jpg,2023-05-08 15:30:39,2023-05-08 15:31:57,78,"(1193.0, 374.0)","(101.95201110839844, 139.968017578125)",48.51590822960566,0.07867041119077593
photo_0674.jpg,photo_0684.jpg,2023-05-08 15:30:39,2023-05-08 15:32:06,87,"(1066.1761474609375, 210.81602478027344)","(168.0, 637.2000122070312)",47.34501380747701,0.06882985455597347
photo_0674.jpg,photo_0685.jpg,2023-05-08 15:30:39,2023-05-08 15:32:15,96,"(934.800048828125, 681.6000366210938)","(970.56005859375, 221.760009765625)",17.739553497182563,0.023371861732538027
photo_0674.jpg,photo_0686.jpg,2023-05-08 15:30:39,2023-05-08 15:32:23,104,"(934.800048828125, 681.6000366210938)","(944.4000244140625, 669.6000366210938)",0.9604676824066705,0.001168076466065343
photo_0675.jpg,photo_0676.jpg,2023-05-08 15:30:48,2023-05-08 15:30:56,8,"(1100.4000244140625, 308.4000244140625)","(1072.800048828125, 758.4000244140625)",4.69630837507185,0.07424863540988595
photo_0675.jpg,photo_0677.jpg,2023-05-08 15:30:48,2023-05-08 15:31:05,17,"(966.2977294921875, 381.5424499511719)","(549.4212036132812, 316.514404296875)",7.671233903581984,0.05707398024264996
photo_0675.jpg,photo_0678.jpg,2023-05-08 15:30:48,2023-05-08 15:31:14,26,"(1174.800048828125, 836.4000244140625)","(1270.080078125, 438.91204833984375)",4.644864298062574,0.022595478323805932
